Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
OS-TPC-TPC0242-PZ-542,2020,,Official Trump Puzzle,Default Title,35.00,Yes,https://shop.donaldjtrump.com/products/official-trump-puzzle,https://cdn.shopify.com/s/files/1/1427/9954/products/0242-OfficialTrumpPuzzle-1B.jpg?v=1586892670,"<p>Show your support with this Official Trump puzzle.</p>
<ul>
<li>200 piece jigsaw puzzle</li>
<li>11""x16"" completed size</li>
<li>Proudly Made in USA</li>
</ul>"
OS-TPC-TPC0156-CG185-RD-S,2020,,Keep America Great Hoodie - Red,Small,55.00,Yes,https://shop.donaldjtrump.com/products/keep-america-great-hoodie-red-1,https://cdn.shopify.com/s/files/1/1427/9954/products/Screen_Shot_2019-11-04_at_10.13.42_AM.png?v=1572884415,"<p><span>Stay warm and show your support for President Trump!<br></span><span></span></p>
<p><span>Purchase the Official Keep America Great red hoodie!</span></p>
<ul>
<li><span>Unisex sizing</span></li>
<li><span>Drawstring hoodie</span></li>
<li><span>Kangaroo pouch</span></li>
<li><span>Proudly Made in USA</span></li>
</ul>"
OS-TPC-TPC0156-CG185-RD-M,2020,,Keep America Great Hoodie - Red,Medium,55.00,Yes,https://shop.donaldjtrump.com/products/keep-america-great-hoodie-red-1,https://cdn.shopify.com/s/files/1/1427/9954/products/Screen_Shot_2019-11-04_at_10.13.42_AM.png?v=1572884415,"<p><span>Stay warm and show your support for President Trump!<br></span><span></span></p>
<p><span>Purchase the Official Keep America Great red hoodie!</span></p>
<ul>
<li><span>Unisex sizing</span></li>
<li><span>Drawstring hoodie</span></li>
<li><span>Kangaroo pouch</span></li>
<li><span>Proudly Made in USA</span></li>
</ul>"
OS-TPC-TPC0156-CG185-RD-L,2020,,Keep America Great Hoodie - Red,Large,55.00,Yes,https://shop.donaldjtrump.com/products/keep-america-great-hoodie-red-1,https://cdn.shopify.com/s/files/1/1427/9954/products/Screen_Shot_2019-11-04_at_10.13.42_AM.png?v=1572884415,"<p><span>Stay warm and show your support for President Trump!<br></span><span></span></p>
<p><span>Purchase the Official Keep America Great red hoodie!</span></p>
<ul>
<li><span>Unisex sizing</span></li>
<li><span>Drawstring hoodie</span></li>
<li><span>Kangaroo pouch</span></li>
<li><span>Proudly Made in USA</span></li>
</ul>"
OS-TPC-TPC0156-CG185-RD-XL,2020,,Keep America Great Hoodie - Red,X-Large,55.00,Yes,https://shop.donaldjtrump.com/products/keep-america-great-hoodie-red-1,https://cdn.shopify.com/s/files/1/1427/9954/products/Screen_Shot_2019-11-04_at_10.13.42_AM.png?v=1572884415,"<p><span>Stay warm and show your support for President Trump!<br></span><span></span></p>
<p><span>Purchase the Official Keep America Great red hoodie!</span></p>
<ul>
<li><span>Unisex sizing</span></li>
<li><span>Drawstring hoodie</span></li>
<li><span>Kangaroo pouch</span></li>
<li><span>Proudly Made in USA</span></li>
</ul>"
OS-TPC-TPC0156-CG185-RD-2X,2020,,Keep America Great Hoodie - Red,2XL,57.50,Yes,https://shop.donaldjtrump.com/products/keep-america-great-hoodie-red-1,https://cdn.shopify.com/s/files/1/1427/9954/products/Screen_Shot_2019-11-04_at_10.13.42_AM.png?v=1572884415,"<p><span>Stay warm and show your support for President Trump!<br></span><span></span></p>
<p><span>Purchase the Official Keep America Great red hoodie!</span></p>
<ul>
<li><span>Unisex sizing</span></li>
<li><span>Drawstring hoodie</span></li>
<li><span>Kangaroo pouch</span></li>
<li><span>Proudly Made in USA</span></li>
</ul>"
OS-TPC-TPC0221-US03-BK,2020,,Cops For Trump Hat,Default Title,35.00,Yes,https://shop.donaldjtrump.com/products/cops-for-trump-hat,https://cdn.shopify.com/s/files/1/1427/9954/products/Cops_For_Trump_Hat_974ebe93-c8c8-4980-b0d2-f519b5bbb442.jpg?v=1583783752,"<div>
<div>Show your support for President Trump and buy your Cops for Trump hat now!</div>
</div>
<ul>
<li>Mesh Back</li>
<li>Plastic Snap Closure</li>
<li>Proudly Made in USA</li>
</ul>"
SP-TPC-TPC0054-5040-DKASH-S,2020,,Trump-Pence 2020 Tee - Grey,Small,30.00,Yes,https://shop.donaldjtrump.com/products/trump-pence-2020-tee-grey-2,https://cdn.shopify.com/s/files/1/1427/9954/products/JRP_3722-Edit-Edit.jpg?v=1573313474,"<p>Show your support for re-electing President Donald J. Trump! Let everyone know who you are voting for in 2020.</p>
<ul>
<li>Unisex sizing</li>
<li>Fine Jersey <span>(90% cotton/10% Poly)</span> construction</li>
<li>Durable rib neckband</li>
<li>Proudly Made in USA</li>
</ul>"
SP-TPC-TPC0054-5040-DKASH-M,2020,,Trump-Pence 2020 Tee - Grey,Medium,30.00,Yes,https://shop.donaldjtrump.com/products/trump-pence-2020-tee-grey-2,https://cdn.shopify.com/s/files/1/1427/9954/products/JRP_3722-Edit-Edit.jpg?v=1573313474,"<p>Show your support for re-electing President Donald J. Trump! Let everyone know who you are voting for in 2020.</p>
<ul>
<li>Unisex sizing</li>
<li>Fine Jersey <span>(90% cotton/10% Poly)</span> construction</li>
<li>Durable rib neckband</li>
<li>Proudly Made in USA</li>
</ul>"
SP-TPC-TPC0054-5040-DKASH-L,2020,,Trump-Pence 2020 Tee - Grey,Large,30.00,No,https://shop.donaldjtrump.com/products/trump-pence-2020-tee-grey-2,https://cdn.shopify.com/s/files/1/1427/9954/products/JRP_3722-Edit-Edit.jpg?v=1573313474,"<p>Show your support for re-electing President Donald J. Trump! Let everyone know who you are voting for in 2020.</p>
<ul>
<li>Unisex sizing</li>
<li>Fine Jersey <span>(90% cotton/10% Poly)</span> construction</li>
<li>Durable rib neckband</li>
<li>Proudly Made in USA</li>
</ul>"
SP-TPC-TPC0054-5040-DKASH-XL,2020,,Trump-Pence 2020 Tee - Grey,X-Large,30.00,Yes,https://shop.donaldjtrump.com/products/trump-pence-2020-tee-grey-2,https://cdn.shopify.com/s/files/1/1427/9954/products/JRP_3722-Edit-Edit.jpg?v=1573313474,"<p>Show your support for re-electing President Donald J. Trump! Let everyone know who you are voting for in 2020.</p>
<ul>
<li>Unisex sizing</li>
<li>Fine Jersey <span>(90% cotton/10% Poly)</span> construction</li>
<li>Durable rib neckband</li>
<li>Proudly Made in USA</li>
</ul>"
SP-TPC-TPC0054-5040-DKASH-2X,2020,,Trump-Pence 2020 Tee - Grey,2XL,32.50,Yes,https://shop.donaldjtrump.com/products/trump-pence-2020-tee-grey-2,https://cdn.shopify.com/s/files/1/1427/9954/products/JRP_3722-Edit-Edit.jpg?v=1573313474,"<p>Show your support for re-electing President Donald J. Trump! Let everyone know who you are voting for in 2020.</p>
<ul>
<li>Unisex sizing</li>
<li>Fine Jersey <span>(90% cotton/10% Poly)</span> construction</li>
<li>Durable rib neckband</li>
<li>Proudly Made in USA</li>
</ul>"
SP-TPC-TPC0054-5040-DKASH-3X,2020,,Trump-Pence 2020 Tee - Grey,3XL,35.00,Yes,https://shop.donaldjtrump.com/products/trump-pence-2020-tee-grey-2,https://cdn.shopify.com/s/files/1/1427/9954/products/JRP_3722-Edit-Edit.jpg?v=1573313474,"<p>Show your support for re-electing President Donald J. Trump! Let everyone know who you are voting for in 2020.</p>
<ul>
<li>Unisex sizing</li>
<li>Fine Jersey <span>(90% cotton/10% Poly)</span> construction</li>
<li>Durable rib neckband</li>
<li>Proudly Made in USA</li>
</ul>"
EMB-TPC-TPC0234-KAGHAT4-WH,2020,,Official Keep America Great 45th President Hat - White,Default Title,30.00,Yes,https://shop.donaldjtrump.com/products/official-keep-america-great-45th-president-hat-white,https://cdn.shopify.com/s/files/1/1427/9954/products/0234-KAGHat-White-Front.jpg?v=1584996870,"<p><span>In 2016 Donald J. Trump promised to Make America Great Again — and now we have to Keep America Great! Order your official Keep America Great 45th President hat today!</span></p>
<ul>
<li>Embroidered Keep America Great logo on front</li>
<li>Embroidered American flag on left side</li>
<li>Embroidered 45 on right side</li>
<li>Embroidered Trump 2020 logo on back</li>
<li>Plastic Snap Closure</li>
<li>Proudly Made in USA</li>
</ul>"
OS-TPC-TPC0217-70030-RD-PNK,2020,,I HEART Trump Straws - Pack of 10,Default Title,15.00,Yes,https://shop.donaldjtrump.com/products/i-heart-trump-straws-pack-of-10,https://cdn.shopify.com/s/files/1/1427/9954/products/0217-70030-RD-PNK.jpg?v=1580248269,"<p><span>Show your love for our 45th President with our I HEART Trump straws.</span></p>
<ul>
<li>BPA free</li>
<li>Reusable &amp; Recyclable</li>
<li>9"" long</li>
<li>Pack of 10 straws as shown -5 Red, 5 Pink</li>
<li>Laser engraved</li>
<li>Made in USA</li>
</ul>
<p><span><br></span></p>"
EMB-TPC-TPC230-FREEDOMHAT,2020,,Freedom 2020 Hat,Default Title,35.00,No,https://shop.donaldjtrump.com/products/freedom-2020-hat,https://cdn.shopify.com/s/files/1/1427/9954/products/0230-Freedom-Front.jpg?v=1583788860,"<p>Beautifully embroidered with our national emblem, our exclusive Freedom hats represent America and the American Spirit.</p>
<ul>
<li>Stars &amp; Stripes printed front panels and bill</li>
<li>Embroidered 3D gold eagle on front</li>
<li>Embroidered Keep America Great! logo on back</li>
<li>Plastic Snap Closure</li>
<li>Proudly Made in USA</li>
</ul>"
